NumberofFloors,NumberofBuildings,BuildingAge,PropertyGFATotal,PropertyGFATotal-binned,Neighborhood,renamed_PropertyType,Electricity_ratio,NaturalGas,SteamUse,SiteEnergyUse(kBtu),TotalGHGEmissions,ENERGYSTARScore
12.0,1.0,96.0,88434.0,Medium,DOWNTOWN,Hotel,54.60599,True,True,7226362.5,249.98,60.0
11.0,1.0,27.0,103566.0,Medium,DOWNTOWN,Hotel,38.66091,True,False,8387933.0,295.86,61.0
10.0,1.0,97.0,61320.0,Medium,DOWNTOWN,Hotel,40.75193,True,True,6794584.0,286.43,56.0
18.0,1.0,43.0,175580.0,Medium,DOWNTOWN,Hotel,37.88017,True,False,14172606.0,505.01,75.0
11.0,1.0,97.0,83008.0,Medium,DOWNTOWN,Hotel,48.81603,True,False,5758795.0,176.14,27.0
15.0,1.0,119.0,163984.0,Medium,DOWNTOWN,Hotel,53.17702,True,False,13723820.0,392.16,43.0
11.0,1.0,54.0,153163.0,Medium,DOWNTOWN,Hotel,38.63248,True,True,16016644.0,691.26,30.0
25.0,1.0,25.0,333176.0,Large,DOWNTOWN,Hotel,67.12065,True,True,26941110.0,740.97,36.0
9.0,1.0,95.0,65009.0,Medium,DOWNTOWN,Hotel,20.36065,True,True,6596057.5,328.23,48.0
33.0,1.0,43.0,315952.0,Large,DOWNTOWN,Hotel,62.27976,True,True,22325364.0,648.62,58.0
11.0,1.0,101.0,92190.0,Medium,DOWNTOWN,Hotel,35.64991,True,True,10750010.0,511.39,35.0
28.0,1.0,40.0,416281.0,Large,DOWNTOWN,Hotel,63.25187,True,False,33556756.0,802.89,31.0
10.0,1.0,107.0,104352.0,Medium,DOWNTOWN,Hotel,58.18413,True,True,10154608.0,349.32,39.0
6.0,1.0,22.0,88592.0,Medium,NORTHEAST,Hotel,61.85914,True,False,3663534.5,90.01,84.0
8.0,1.0,32.0,158676.0,Medium,EAST,Hotel,10.74139,True,False,5328051.5,256.57,
10.0,1.0,22.0,171866.0,Medium,DOWNTOWN,Hotel,50.72092,True,False,11061916.0,328.63,57.0
5.0,1.0,45.0,68410.0,Medium,DOWNTOWN,Hotel,52.64751,True,False,4456714.5,128.44,57.0
4.0,1.0,29.0,81871.0,Medium,NORTHEAST,Hotel,45.23308,True,False,6668568.5,215.0,29.0
24.0,1.0,54.0,332210.0,Large,DOWNTOWN,Hotel,75.50739,True,False,16163194.0,295.33,67.0
20.0,1.0,93.0,98634.0,Medium,DOWNTOWN,Hotel,88.61291,True,False,4841347.5,59.19,71.0
7.0,1.0,38.0,71150.0,Medium,DOWNTOWN,Hotel,60.65282,True,False,5348309.0,134.38,98.0
7.0,1.0,115.0,122810.0,Medium,DOWNTOWN,Hotel,23.94917,True,False,5401277.5,227.18,99.0
5.0,1.0,64.0,113173.0,Medium,LAKE UNION,Hotel,55.72461,True,False,5284343.5,144.79,86.0
7.0,1.0,23.0,150453.0,Medium,LAKE UNION,Hotel,50.57356,True,False,6715187.0,199.95,84.0
6.0,1.0,26.0,116300.0,Medium,LAKE UNION,Hotel,54.71308,True,False,5827595.5,162.39,80.0
6.0,1.0,25.0,155602.0,Medium,MAGNOLIA / QUEEN ANNE,Hotel,66.68135,True,False,6836900.0,152.76,81.0
4.0,1.0,24.0,122942.0,Medium,MAGNOLIA / QUEEN ANNE,Hotel,45.41087,True,False,5337334.0,171.64,94.0
6.0,1.0,15.0,84103.0,Medium,LAKE UNION,Hotel,75.89347,True,False,3706100.25,67.06,74.0
7.0,1.0,115.0,76631.0,Medium,EAST,Hotel,36.65561,True,False,7258758.5,262.75,71.0
7.0,1.0,33.0,282863.0,Large,LAKE UNION,Hotel,56.4288,True,False,19459304.0,526.85,37.0
6.0,1.0,21.0,96910.0,Medium,MAGNOLIA / QUEEN ANNE,Hotel,51.14879,True,False,5155568.5,152.14,56.0
4.0,,61.0,50017.0,Medium,NORTHEAST,Hotel,39.05883,True,False,5448975.0,191.2,53.0
4.0,1.0,22.0,51390.0,Medium,NORTHWEST,Hotel,38.71727,True,False,3611538.0,127.29,89.0
3.0,1.0,21.0,69138.0,Medium,NORTHWEST,Hotel,55.60254,True,False,3242458.0,89.02,78.0
5.0,1.0,119.0,190980.0,Medium,DOWNTOWN,Hotel,67.67466,True,False,6505995.0,142.39,98.0
4.0,1.0,27.0,162222.0,Medium,MAGNOLIA / QUEEN ANNE,Hotel,52.81845,True,False,7946961.0,228.4,76.0
5.0,1.0,25.0,123920.0,Medium,LAKE UNION,Hotel,43.5201,True,False,9373179.0,309.6,79.0
7.0,1.0,25.0,207656.0,Large,MAGNOLIA / QUEEN ANNE,Hotel,49.50584,True,False,11171988.0,338.16,76.0
4.0,1.0,55.0,64893.0,Medium,NORTHWEST,Hotel,42.28174,True,False,6197825.0,208.26,70.0
9.0,1.0,18.0,168449.0,Medium,GREATER DUWAMISH,Hotel,48.96941,True,False,12726789.0,388.37,64.0
16.0,1.0,92.0,106860.0,Medium,NORTHEAST,Hotel,29.84103,True,False,11935719.0,469.57,49.0
4.0,1.0,62.0,122309.0,Medium,DOWNTOWN,Hotel,24.83936,True,False,25453690.0,1060.13,8.0
8.0,1.0,20.0,254273.0,Large,DOWNTOWN,Hotel,51.62765,True,False,26659244.0,780.84,29.0
21.0,1.0,93.0,305548.0,Large,DOWNTOWN,Hotel,43.22071,True,True,33729336.0,1510.85,58.0
19.0,,50.0,332067.0,Large,DOWNTOWN,Hotel,52.40242,True,True,37785552.0,1468.5,6.0
5.0,1.0,44.0,109017.0,Medium,LAKE UNION,Hotel,59.37252,True,False,9474745.0,243.66,34.0
6.0,1.0,20.0,150545.0,Medium,EAST,Hotel,41.77092,True,False,13410041.0,453.76,28.0
5.0,1.0,15.0,111856.0,Medium,MAGNOLIA / QUEEN ANNE,Hotel,51.09064,True,False,9444484.0,278.97,8.0
5.0,1.0,33.0,57800.0,Medium,DOWNTOWN,Hotel,56.29956,True,False,2443065.25,66.29,87.0
4.0,1.0,56.0,44416.0,Small,DOWNTOWN,Hotel,56.02199,True,False,2669564.25,72.78,61.0
2.0,,62.0,24100.0,Small,NORTHEAST,Hotel,51.52821,True,False,1587454.75,46.57,91.0
7.0,1.0,63.0,61180.0,Medium,DOWNTOWN,Hotel,46.56759,True,False,3993913.25,126.3,24.0
